id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Brasil,59,F,Río Amazonas,Iquitos,2025-01-10,12,3474.65,
V0002,Colombia,17,M,Islas Flotantes Uros,Puno,2025-09-15,11,890.28,
V0003,Argentina,25,Otro,Huaca Pucllana,Lima,2025-05-01,3,3565.26,Auto
V0004,Colombia,38,F,Sacsayhuamán,Cusco,2025-07-05,13,853.63,Mototaxi
V0005,Argentina,56,Otro,Parque de la Reserva,Lima,2025-08-04,11,360.77,Auto
V0006,Brasil,45,F,Taquile,Puno,2025-03-24,13,4669.45,Mototaxi
V0007,Estados Unidos,75,F,Sacsayhuamán,Cusco,2025-01-29,11,1752.89,NA
V0008,Brasil,71,M,Taquile,Puno,2025-05-25,1,1392.11,Tren
V0009,Estados Unidos,54,M,Taquile,Puno,2025-09-02,8,2893.06,Avión
V0010,Perú,29,F,Monasterio de Santa Catalina,Arequipa,2025-02-08,5,2090.3,NA
V0011,NA,59,Otro,Barranco,Lima,2025-05-13,11,908.06,Bus
V0012,España,50,M,Barranco,Lima,2025-01-04,9,4414.57,
V0013,NA,24,Otro,Cañón del Colca,Arequipa,2025-05-13,8,4031.41,Mototaxi
V0014,Brasil,69,Otro,Sacsayhuamán,Cusco,2025-07-27,2,2589.4,
V0015,Argentina,56,M,Sacsayhuamán,Cusco,2025-06-19,9,4786.55,Tren
V0016,Chile,26,M,Parque de la Reserva,Lima,2025-06-09,6,1932.33,Mototaxi
V0017,Estados Unidos,24,M,Malecón Tarapacá,Iquitos,2025-05-16,,,Avión
V0018,México,24,F,Lago Titicaca,Puno,2025-05-21,10,3202.52,NA
V0019,Colombia,47,F,Malecón Tarapacá,Iquitos,2025-08-08,10,560.83,Tren
V0020,España,72,Otro,Monasterio de Santa Catalina,Arequipa,2025-01-30,10,943.99,NA
V0021,México,80,F,Parque de la Reserva,Lima,2025-07-06,11,3417.15,
V0022,Colombia,,F,Monasterio de Santa Catalina,Arequipa,2025-04-23,9,453.61,Tren
V0023,Argentina,60,F,Sacsayhuamán,Cusco,2025-02-28,3,1837.72,
V0024,Brasil,22,Otro,Huaca Pucllana,Lima,2025-03-02,10,1127.27,
V0025,Estados Unidos,31,Otro,Barranco,Lima,2025-03-29,4,959.12,Avión
V0026,México,49,M,Barranco,Lima,2025-06-27,8,560.12,Mototaxi
V0027,NA,28,M,Huaca Pucllana,Lima,2025-07-14,8,3371.01,Mototaxi
V0028,México,50,F,Machu Picchu,Cusco,2025-02-23,10,3559.41,Auto
V0029,Brasil,59,Otro,Valle Sagrado,Cusco,2025-09-06,6,1603.51,NA
V0030,Colombia,20,M,Islas Flotantes Uros,Puno,2025-01-19,10,1359.1,Auto
V0031,Colombia,19,Otro,Lago Titicaca,Puno,2025-07-10,11,4128.02,Bus
V0032,NA,17,M,Malecón Tarapacá,Iquitos,2025-01-15,7,4390.83,Tren
V0033,México,53,F,Río Amazonas,Iquitos,2025-06-01,13,3063.12,NA
V0034,México,16,M,Sacsayhuamán,Cusco,2025-06-01,10,4801.11,Mototaxi
V0035,España,58,Otro,Taquile,Puno,2025-03-11,10,4697.26,Bus
V0036,Estados Unidos,62,F,Malecón Tarapacá,Iquitos,2025-04-11,9,2754.66,Bus
V0037,México,61,M,Islas Flotantes Uros,Puno,2025-08-13,2,4149.66,Avión
V0038,Perú,17,M,Monasterio de Santa Catalina,Arequipa,2025-05-30,11,1277.02,Auto
V0039,Colombia,77,Otro,Malecón Tarapacá,Iquitos,2025-01-28,4,3322.71,Avión
V0040,Chile,50,Otro,Machu Picchu,Cusco,2025-05-26,7,2525.64,Mototaxi
V0041,Perú,79,M,Taquile,Puno,2025-02-07,8,3826.65,Tren
V0042,NA,43,M,Parque de la Reserva,Lima,2025-02-14,8,3892.59,Tren
V0043,Brasil,34,Otro,Río Amazonas,Iquitos,2025-08-16,13,4791.33,Tren
V0044,Argentina,73,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-01-28,7,3555.32,Mototaxi
V0045,Argentina,58,F,Sacsayhuamán,Cusco,2025-07-18,4,4820.59,NA
V0046,México,32,M,Cañón del Colca,Arequipa,2025-09-28,6,1601.39,Auto
V0047,NA,36,F,Taquile,Puno,2025-02-26,8,1944.41,Mototaxi
V0048,Colombia,,M,Plaza de Armas,Arequipa,2025-04-21,9,2601.49,Avión
V0049,Perú,73,F,Cañón del Colca,Arequipa,2025-04-14,10,4157.14,Tren
V0050,Perú,56,M,Valle Sagrado,Cusco,2025-04-03,7,2511.75,NA
V0051,Perú,37,Otro,Monasterio de Santa Catalina,Arequipa,2025-02-05,11,863.83,NA
V0052,España,25,F,Parque de la Reserva,Lima,2025-05-31,9,4353.73,Bus
V0053,España,41,M,Taquile,Puno,2025-03-15,6,4185.35,
V0054,Perú,74,F,Valle Sagrado,Cusco,2025-04-10,12,1332.42,Tren
V0055,Perú,17,F,Reserva Nacional Pacaya Samiria,Iquitos,2025-01-17,6,2072.1,Auto
V0056,Perú,25,M,Machu Picchu,Cusco,2025-02-24,6,1397.57,Auto
V0057,Estados Unidos,33,M,Malecón Tarapacá,Iquitos,2025-03-10,13,1480.95,
V0058,NA,61,M,Monasterio de Santa Catalina,Arequipa,2025-04-23,2,2362.21,Bus
V0059,Estados Unidos,18,Otro,Río Amazonas,Iquitos,2025-08-20,3,2947.28,Tren
V0060,Brasil,45,Otro,Río Amazonas,Iquitos,2025-08-19,7,1650.9,Bus
V0061,Perú,70,M,Machu Picchu,Cusco,2025-09-10,5,4125.61,
V0062,Chile,50,F,Monasterio de Santa Catalina,Arequipa,2025-01-23,7,3789.17,Bus
V0063,España,74,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-07-27,1,3335.88,
V0064,Brasil,20,F,Reserva Nacional Pacaya Samiria,Iquitos,2025-06-18,8,3196.02,Mototaxi
V0065,Estados Unidos,79,F,Sacsayhuamán,Cusco,2025-02-05,1,3702.32,NA
V0066,Argentina,23,Otro,Monasterio de Santa Catalina,Arequipa,2025-08-20,12,1416.53,Tren
V0067,México,70,M,Valle Sagrado,Cusco,2025-04-22,5,2309.77,Tren
V0068,Estados Unidos,24,M,Monasterio de Santa Catalina,Arequipa,2025-06-09,5,1626.2,
V0069,Argentina,79,M,Plaza de Armas,Arequipa,2025-02-26,13,3382.3,Tren
V0070,NA,67,F,Reserva Nacional Pacaya Samiria,Iquitos,2025-09-28,8,2868.59,NA
V0071,México,15,Otro,Parque de la Reserva,Lima,2025-01-04,7,4856.1,Tren
V0072,NA,53,F,Islas Flotantes Uros,Puno,2025-07-26,2,3131.16,
V0073,México,69,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-05-22,11,1883.24,
